objectid,parentid,filename,image_small,image_thumb,identifier,type,format,display_template,archive,artifact_type,title,creator,date,time_period,site_building,location,latitude,longitude,relocated_from,ethnic_group,religious_affiliation,names,subject,description,image_alt_text,source,original_source,additional_citation,object_location,language,copyright_holder,rights,rightsstatement
claraglen_1,,claraglen_1.png,,,IMG_5265.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Francesco family pet (d. 1977) in the Clara Glen Pet Cemetery of Linwood, NJ",,1977,1970s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Gina; Francesco,Child language; 8 years old; Gina; Francesco; Inscription; Lamb engraving,"Gravestone of Gina (d. 1977), pet of the Francesco family in the Clara Glen Pet Cemetery of Linwood, NJ. Gina died in 1977 at the age of 8. The upright gravestone is inscribed ""OUR LITTLE BABY / WILL LIVE WITH US FOREVER"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_2,,claraglen_2.png,,,IMG_5261.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Buttons Jones (d. 1971), pet of Jones family in the Clara Glen Pet Cemetery of Linwood, NJ",,1971,1970s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Buttons; Jones,Child language; Lamb engraving; 14 years old; Buttons; Jones; Inscription,"Gravestone of Buttons Jones (d. 1971), pet of the Jones family in the Clara Glen Pet Cemetery of Linwood, NJ. Buttons was born in 1957 and died in 1971 at the age of 14. The upright gravestone has an engraving of a lamb and is inscribed ""OUR BABY"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_3,,claraglen_3.png,,,IMG_5268.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Gina (d. 1966), poodle of F. Robinson in the Clara Glen Pet Cemetery of Linwood, NJ",,1966,1960s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Gina; Robinson,Lamb effigy; Upright; 14 years old; Gina; Robinson; F. Robinson; Poodle; Dog,"Gravestone of Gina (d. 1966), poodle of F. Robinson in the Clara Glen Pet Cemetery of Linwood, NJ. Gina was born in 1952 and died in 1966 at the age of 14. A lamb effigy is atop the upright stone.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_4,,claraglen_4.png,,,IMG_5249.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Fence sign at the Clara Glen Pet Cemetery of Linwood, NJ",,1918,1910s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,,Sign,"Fence sign at the Clara Glen Pet Cemetery of Linwood, NJ surrounded by ivy vines. The sign reads ""CLARA GLEN / PET / CEMETERY / CIRCA 1918"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_5,,claraglen_5.png,,,IMG_5250.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Landscape of the Clara Glen Pet Cemetery of Linwood, NJ",,n/a,,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,,Landscape; Cemetery,"Landscape of the Clara Glen Pet Cemetery of Linwood, NJ.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_6,,claraglen_6.png,,,IMG_5251.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Rascul Bumsie (d. 1982), pet of Ciberson family in the Clara Glen Pet Cemetery of Linwood, NJ",,1982,1980s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Rascal; Bumsie; Ciberson,Rascal Bumsie; Ciberson; Upright,"Gravestone of Rascul Bumsie (d. 1982), pet of Ciberson family in the Clara Glen Pet Cemetery of Linwood, NJ. ",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_7,,claraglen_7.png,,,IMG_5252.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Samantha (d. 1981) and Charlie (d. 1985), siamese cats of the Donaldson family in the Clara Glen Pet Cemetery of Linwood, NJ",,1981; 1985,1980s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Samantha; Charlie; Donaldson,Cat; Siamese; Upright; 14 years old; 19 years old; Samantha; Charlie; Donaldson; Child language; Love language; Multiple pets; Inscription,"Gravestone of Samantha (d. 1981) and Charlie (d. 1985), siamese cats of the Donaldson family in the Clara Glen Pet Cemetery of Linwood, NJ. Samantha was born in 1967 and died in 1981 at the age of 14. Charlie was born in 1966 and died in 1985 at the age of 19. The upright gravestone is inscribed ""OUR DEAR / LITTLE SIAMESE"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_8,,claraglen_8.png,,,IMG_5253.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Sea-gull (d. 1981), pet of McLaughlin family in the Clara Glen Pet Cemetery of Linwood, NJ",,1981,1980s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Sea-gull; McLaughlin,Flat; 7 years old; Sea-gull; McLaughlin; Child language; Love language; Inscription,"Gravestone of Sea-gull (d. 1981), pet of McLaughlin family in the Clara Glen Pet Cemetery of Linwood, NJ. Sea-gull was born in 1974 and died in 1981 at the age of 7. The flat gravestone is inscribed ""OUR BELOVED BABY"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_9,,claraglen_9.png,,,IMG_5254.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Graveston of Monkey (d. 1975), pet in the Clara Glen Pet Cemetery of Linwood, NJ",,1975,1970s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Monkey,Upright; 3 years old; Monkey; Friend language; Inscription,"Gravestone of Monkey (d. 1975), pet in the Clara Glen Pet Cemetery of Linwood, NJ. Monkey was born in 1972 and died in 1975 at the age of 3. The upright gravestone is inscribed ""OUR 3 LEGGED PAL"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_10,,claraglen_10.png,,,IMG_5255.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Prince-Hans, pet of Karpus family in the Clara Glen Pet Cemetery of Linwood, NJ",,n.d.,n.d.,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Prince-Hans,Dog; Poodle; Dog effigy; Upright; Prince-Hans; Love language; Inscription,"Gravestone of Prince-Hans, pet of the Karpus family in the Clara Glen Pet Cemetery of Linwood, NJ. A lamb effigy stands aside the vertical gravestone, which is inscribed ""BELOVED"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_11,,claraglen_11.png,,,IMG_5251.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Napoleon ""Doley"" Stern (d. 1982), pet of Stern family in the Clara Glen Pet Cemetery of Linwood, NJ ",,1982,1980s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Doley; Napoleon; Stern,Doley; Napoleon Stern; Napoleon; Upright; 15 years old,"Gravestone of Napoleon ""Doley"" Stern (d. 1982), pet of Stern family in the Clara Glen Pet Cemetery of Linwood, NJ. Napoleon was born in 1967 and died in 1982 at the age of 15.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_12,,claraglen_12.png,,,IMG_5257.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Sonny (d. 1980), pet in the Clara Glen Pet Cemetery of Linwood, NJ",,1980,1980s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Sonny,Upright; 12 years old; Sonny; Lamb effigy; Inscription,"Gravestone of Sonny (d. 1980), pet in the Clara Glen Pet Cemetery of Linwood, NJ. Sonny was born in 1968 and died in 1980 at the age of 12. A lamb effigy stands aside the vertical gravestone, which is inscribed ""REST IN PEACE"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_13,,claraglen_13.png,,,IMG_5258.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Baron (d. 1980), pet of Sue and Sam Bonow in the Clara Glen Pet Cemetery of Linwood, NJ",,1980,1980s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Baron; Bonow,Upright; Baron; Bonow; Sue Bonow; Sam Bonow; Love language; Lamb effigy; 14 years old; Inscription,"Gravestone of Baron (d. 1980), pet of Sue and Sam Bonow in the Clara Glen Pet Cemetery of Linwood, NJ. Baron was born on March 5th, 1966 and died in either 1980 or 1990. Foliage covers Baron's year of death. A lamb effigy stands aside the vertical gravestone, which is inscribed ""BELOVED PET OF SUE & SAM BONOW"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_14,,claraglen_14.png,,,IMG_5260.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Rudy (d. 1980), cat of Vivian Bonow in the Clara Glen Pet Cemetery of Linwood, NJ",,1980,1980s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,Christian,Rudy; Bonow,Cat; Angel; Upright; 1.5 years old; Rudy; Bonow; Vivian Bonow; Child language; Love language; Inscription,"Gravestone of Rudy (d. 1980), cat of Vivian Bonow in the Clara Glen Pet Cemetery of Linwood, NJ. Rudy died on February 26, 1980 at 1.5 years old.  The upright gravestone is inscribed ""BELOVED CAT OF VIVIAN BONOW / ALL YOU WANTED WAS LOVE AND THAT / IS WHAT YOU GAVE.  PRECIOUS BABY / LOVED AND BLESSEd.   WELCOME TO / GOD'S HEAVEN.  WITH ANGELS WINGS YOU ARE DRESSED"". The remaining inscription is covered by foliage.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_15,,claraglen_15.png,,,IMG_5263.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Lamb Effigy in the Clara Glen Pet Cemetery of Linwood, NJ",,n.d.,n.d.,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,,Lamb effigy,"Lamb Effigy in the Clara Glen Pet Cemetery of Linwood, NJ.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_16,,claraglen_16.png,,,IMG_5264.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Cat Effigy in the Clara Glen Pet Cemetery of Linwood, NJ",,n.d.,n.d.,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,,Cat effigy,"Cat Effigy in the Clara Glen Pet Cemetery of Linwood, NJ.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_17,,claraglen_17.png,,,IMG_5266.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Lucky Silver, pet in the Clara Glen Pet Cemetery of Linwood, NJ",,1957,1950s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Lucky; Silver,Flat; Lucky Silver; Lucky,"Gravestone of Lucky Silver, pet in the Clara Glen Pet Cemetery of Linwood, NJ. Lucky Silver was born in 1957. The portion of the flat stone listing the year of death is covered by grass.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_18,,claraglen_18.png,,,IMG_5269.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Rover (d. 1952), pet of Bill and Ruth Kibbe in the Clara Glen Pet Cemetery of Linwood, NJ",,1952,1950s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Kibbe; Rover,Flowers; 15 years old; Upright; Kibbe; Bill Kibbe; Ruth Kibbe; Rover; Inscription,"Gravestone of Rover (d. 1952), pet of Bill and Ruth Kibbe in the Clara Glen Pet Cemetery of Linwood, NJ. Rover was born in 1937 and died in 1952 at the age of 15. The upright gravestone has floral engravings and is inscribed ""SADLY MISSED BY BILL-RUTH KIBBE"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_19,,claraglen_19.png,,,IMG_5270.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Lucky (d. 1952), boston terrier of Mr. and Mrs. Robert R. Baker in the Clara Glen Pet Cemetery of Linwood, NJ",,1952,1950s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,Christian,Lucky; Baker,Lucky; Robert Baker; Baker; Dog; Boston Terrier; Flat; Friend language; Male; 14 years old; Inscription,"Gravestone of Lucky, Boston Terrier of Mr. and Mrs. Robert R. Baker in the Clara Glen Pet Cemetery of Linwood, NJ. Lucky died October 21, 1952 at the age of 14. The upright gravestone is inscribed ""LITTLE BOSTON TERRIER / OUR PRECIOUS FRIEND / AND DEAREST COMPANION / DURING ALL THE 14 / YEARS OF HIS LIFE / GOD BLESS HIM.""",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_20,,claraglen_20.png,,,IMG_5271.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Lassie, pet in the Clara Glen Pet Cemetery of Linwood, NJ",,n.d.,n.d.,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Lassie,13 years old; Friend language; Lassie; Upright; Inscription,"Gravestone of Lassie, pet in the Clara Glen Pet Cemetery of Linwood, NJ. Lassie died at the age of 13. The upright gravestone is inscribed ""OUR PAL"". ",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_21,,claraglen_21.png,,,IMG_5272.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of ""Twerp"" (d. 1949), pet of the Fitzpatrick family in the Clara Glen Pet Cemetery of Linwood, NJ",,1949,1940s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,,12 years old; Upright; Inscription,"Gravestone of ""Twerp"" (d. 1949), pet of the Fitzpatrick family in the Clara Glen Pet Cemetery of Linwood, NJ. ""Twerp"" was born in 1937 and died in 1949 at the age of 12. The upright gravestone appears to have a missing enamel photo.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_22,,claraglen_22.png,,,IMG_5273.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Butchie, pet of Thelma and Philip A. Toppin in the Clara Glen Pet Cemetery of Linwood, NJ",,n.d.,n.d.,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Butchie; Toppin,Upright; Flowers; Butchie; Toppin; Phillip A. Toppin; Thelma Toppin; Inscription,"Gravestone of Butchie, pet of Thelma and Philip A. Toppin in the Clara Glen Pet Cemetery of Linwood, NJ. The upright gravestone has floral engravings and is inscribed ""EVER FAITHFUL / WE WILL NEVER STOP MISSING / AND LOVING OUR LITTLE PET / SWEET DREAMS"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_23,,claraglen_23.png,,,IMG_5274.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of ""Lucky Boy"" (d. 1948), dog of Mr. and Mrs. Preston Jones in the Clara Glen Pet Cemetery of Linwood, NJ ",,1948,1940s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Lucky; Lucky Boy; Jones,Enamel photo; Flowers; Upright; Lucky Boy; Preston Jones; Jones; Male; Dog; 15 years old; Child language; Inscription,"Gravestone of ""Lucky Boy"" (d. 1948), dog of Mr. and Mrs. Preston Jones in the Clara Glen Pet Cemetery of Linwood, NJ. ""Lucky Boy"" was born February 11, 1933 and died March 14, 1948 at the age of 15. The upright stone has floral engravings and a worn enamel photo. It is also inscribed ""A.K.C. NO.981158 VOL.52"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_24,,claraglen_24.png,,,IMG_5275.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Toinette (d. 1947), pet of A. and K. Wilson in the Clara Glen Pet Cemetery of Linwood, NJ",,1947,1940s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Toinette; Wilson,9 years old; Toinette; A. & K. Wilson; Wilson; Upright,"Gravestone of Toinette (d. 1947), pet of A. and K. Wilson in the Clara Glen Pet Cemetery of Linwood, NJ. Toinette died in 1947 at the age of 9.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_25,,claraglen_25.png,,,IMG_5276.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Boysie (d. 1946), pet in the Clara Glen Pet Cemetery of Linwood, NJ",,1946,1940s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Boysie,Lamb effigy; Boysie; Upright; 20 years old,"Gravestone of Boysie (d. 1946), pet in the Clara Glen Pet Cemetery of Linwood, NJ. Lamb effigy atop a gravestone base. Boysie was born in 1926 and died in 1946 at the age of 20.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_26,,claraglen_26.png,,,IMG_5277.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Boots (d. 1945), pet of Atkinson family in the Clara Glen Pet Cemetery of Linwood, NJ",,1945,1940s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Atkinson; Boots,Boots; Atkinson; Boots Atkinson; 14 years old; Flat,"Gravestone of Boots Atkinson (d. 1945), pet of Atkinson family in the Clara Glen Pet Cemetery of Linwood, NJ. Boots was born in May of 1931 and died in November of 1945 at the age of 14.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_27,,claraglen_27.png,,,IMG_5278.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Laddie (d. 1945), pet of W. d. Henderson in the Clara Glen Pet Cemetery of Linwood, NJ",,1945,1940s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Laddie; Henderson,16 years old; Laddie; Henderson; W. d.  Henderson; Upright; Friend language; Inscription,"Gravestone of Laddie (d. 1945), pet of W. d.  Henderson in the Clara Glen Pet Cemetery of Linwood, NJ. Laddie was born in 1929 and died in 1945 at the age of 16. The upright gravestone is inscribed ""OUR PAL 'LADDIE'"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_28,,claraglen_28.png,,,IMG_5279.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Skippy Boy (d. 1946), pet of C.-C. Wise in the Clara Glen Pet Cemetery of Linwood, NJ ",,1946,1940s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Skippy; Skippy Boy; Wise,Enamel photo; Upright; Skippy Boy; Skippy; Wise; C.-C. Wise; Male; 14 years old; Child language; Inscription,"Gravestone of Skippy Boy (d. 1946), pet of C.-C. Wise in the Clara Glen Pet Cemetery of Linwood, NJ. Skippy Boy was born in 1932 and died in 1946 at the age of 14. The upright gravestone has a very worn enamel photo and is inscribed ""WE ARE SAD AND LONELY / WITH OUT YOU / MY HEART IS BROKEN / SINCE YOU HAVE GONE"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
